State,Month,pm10
Virginia,07/2015,16.52054794520548
Virginia,08/2015,14.916666666666666
Virginia,09/2015,15.13888888888889
Virginia,10/2015,12.4375
Virginia,11/2015,10.453333333333333
Virginia,12/2015,10.77027027027027
West Virginia,01/2015,10.287128712871286
West Virginia,02/2015,12.177777777777777
West Virginia,03/2015,12.193548387096774
West Virginia,04/2015,11.24742268041237
West Virginia,05/2015,17.95876288659794
West Virginia,06/2015,15.164948453608247
West Virginia,07/2015,17.83
West Virginia,08/2015,14.55
West Virginia,09/2015,14.0625
West Virginia,10/2015,10.505154639175258
West Virginia,11/2015,11.081632653061224
West Virginia,12/2015,11.010989010989011
Washington,01/2015,13.784313725490197
Washington,02/2015,29.53125
Washington,03/2015,21.445454545454545
Washington,04/2015,14.71875
Washington,05/2015,17.07547169811321
Washington,06/2015,21.48421052631579
Washington,07/2015,22.511627906976745
Washington,08/2015,41.054545454545455
Washington,09/2015,25.3
Washington,10/2015,23.358490566037737
Washington,11/2015,20.84251968503937
Washington,12/2015,11.280303030303031
Wisconsin,01/2015,10.939597315436242
Wisconsin,02/2015,14.333333333333334
Wisconsin,03/2015,11.748091603053435
Wisconsin,04/2015,10.166666666666666
Wisconsin,05/2015,11.772727272727273
Wisconsin,06/2015,12.178082191780822
Wisconsin,07/2015,15.215686274509803
Wisconsin,08/2015,12.608391608391608
Wisconsin,09/2015,15.028169014084508
Wisconsin,10/2015,14.014388489208633
Wisconsin,11/2015,10.442028985507246
Wisconsin,12/2015,7.973333333333334
Wyoming,01/2015,11.477053824362606
Wyoming,02/2015,11.209968847352025
Wyoming,03/2015,16.814449917898195
Wyoming,04/2015,14.948776323278315
Wyoming,05/2015,8.280923584387025
Wyoming,06/2015,16.039762611275965
Wyoming,07/2015,19.160724722384572
Wyoming,08/2015,26.42506963788301
Wyoming,09/2015,20.38166566806471
Wyoming,10/2015,13.682926829268293
Wyoming,11/2015,12.719679633867276
Wyoming,12/2015,10.527777777777779
